NAMN,ÅLDER_PÅ_VALDAGEN,KÖN,PARTIBETECKNING,PARTIFÖRKORTNING
Anna Gerebo,54,K,Moderaterna,M
Staffan Eklöf,57,M,Sverigedemokraterna,SD
Håkan Nyborg,43,M,Sverigedemokraterna,SD
Vibecke Hvidsten,52,K,Sverigedemokraterna,SD
Samuel Godrén,50,M,Sverigedemokraterna,SD
Olle Moln Teike,35,M,Sverigedemokraterna,SD
Jan-Ove Lipponen,63,M,Sverigedemokraterna,SD
Kristian Aronsson,61,M,Sverigedemokraterna,SD
Björn Forsell,72,M,Sverigedemokraterna,SD
Ulf Svensson,59,M,Sverigedemokraterna,SD
Ciczie Weidby,48,K,Vänsterpartiet,V
João Figueiredo,38,M,Vänsterpartiet,V
Sanja Tafra Ciglar,59,K,Vänsterpartiet,V
Jonas Lindgren,33,M,Vänsterpartiet,V
Elisabeth Töre,61,K,Vänsterpartiet,V
Johan Ragnarsson,57,M,Vänsterpartiet,V
Suzanne Schöblom,77,K,Vänsterpartiet,V
Pontus Pfeiffer,40,M,Vänsterpartiet,V
Malin Waldemarsson,50,K,Vänsterpartiet,V
Fredrik Blåman,23,M,Vänsterpartiet,V
Alexandra Lann,27,K,Vänsterpartiet,V
Julia Löf,29,K,Vänsterpartiet,V
Mikael Ekvall,37,M,Vänsterpartiet,V
Mona Ragnarsson,65,K,Vänsterpartiet,V
Sadiq Yaqubi,36,M,Vänsterpartiet,V
Helén Karlsson,54,K,Vänsterpartiet,V
Hannes Blåman,18,M,Vänsterpartiet,V
Erica Bahr,22,K,Vänsterpartiet,V
Kristoffer Wolke,46,M,Vänsterpartiet,V
Erica Gunnarsson Kibowa,65,K,Vänsterpartiet,V
Johan Tiger,38,M,Vänsterpartiet,V
Kim Strand,39,K,Vänsterpartiet,V
Håkan Svensson,55,M,Vänsterpartiet,V
Anna-Karin Ramnemo,64,K,Vänsterpartiet,V
Gunnar Alveglim,22,M,Vänsterpartiet,V
Anne Falk,69,K,Vänsterpartiet,V
Tomas Eneroth,55,M,Arbetarepartiet-Socialdemokraterna,S
Marie Hammarström Linnér,39,K,Arbetarepartiet-Socialdemokraterna,S
Andreas Holmgren,48,M,Arbetarepartiet-Socialdemokraterna,S
Emma Johansson Gauffin,34,K,Arbetarepartiet-Socialdemokraterna,S
Gustav Caligari Berger,24,M,Arbetarepartiet-Socialdemokraterna,S
Eva Ballovarre,40,K,Arbetarepartiet-Socialdemokraterna,S
Klas Albinsson,24,M,Arbetarepartiet-Socialdemokraterna,S
Victoria Lindeberg,24,K,Arbetarepartiet-Socialdemokraterna,S
Otto Lindlöf,35,M,Arbetarepartiet-Socialdemokraterna,S
Ann-Kristin Lindquist,77,K,Arbetarepartiet-Socialdemokraterna,S
