NAMN,ÅLDER_PÅ_VALDAGEN,KÖN,PARTIBETECKNING,PARTIFÖRKORTNING
Maritha Eriksson,67,K,Landsbygdspartiet Oberoende,LPo
Annica Johansson,55,K,Landsbygdspartiet Oberoende,LPo
Ulla Carnemyr,51,K,Landsbygdspartiet Oberoende,LPo
Åke Karlsson,80,M,Landsbygdspartiet Oberoende,LPo
Lars Behm,61,M,Landsbygdspartiet Oberoende,LPo
Pierre Ländell,58,M,Landsbygdspartiet Oberoende,LPo
Ulrik Saanum,60,M,Landsbygdspartiet Oberoende,LPo
Conny Gunnarsson,56,M,Landsbygdspartiet Oberoende,LPo
Eva Holmgren,65,K,Landsbygdspartiet Oberoende,LPo
Thomas Sjögren,50,M,Landsbygdspartiet Oberoende,LPo
Annica Haag,55,K,Landsbygdspartiet Oberoende,LPo
Robert Thelin,62,M,Landsbygdspartiet Oberoende,LPo
Mats Näslund,55,M,Landsbygdspartiet Oberoende,LPo
Andreas Andersson,42,M,Landsbygdspartiet Oberoende,LPo
Hans Boström,75,M,Landsbygdspartiet Oberoende,LPo
Magnus Malmsten,62,M,Landsbygdspartiet Oberoende,LPo
Claes Littorin,56,M,Landsbygdspartiet Oberoende,LPo
Bert Cedergren,58,M,Landsbygdspartiet Oberoende,LPo
Anders Persson,53,M,Landsbygdspartiet Oberoende,LPo
Yngve Eriksson,53,M,Landsbygdspartiet Oberoende,LPo
Roger Andersson,67,M,Landsbygdspartiet Oberoende,LPo
Johan Pehrson,54,M,Liberalerna (tidigare Folkpartiet),L
Martin Melin,55,M,Liberalerna (tidigare Folkpartiet),L
Paulina Brandberg,38,K,Liberalerna (tidigare Folkpartiet),L
Anders Ekegren,65,M,Liberalerna (tidigare Folkpartiet),L
Dominika Peczynski,51,K,Liberalerna (tidigare Folkpartiet),L
Monica Brohede Tellström,50,K,Liberalerna (tidigare Folkpartiet),L
Rasmus Jonlund,41,M,Liberalerna (tidigare Folkpartiet),L
Cecilia Elving,43,K,Liberalerna (tidigare Folkpartiet),L
Metin Hawsho,53,M,Liberalerna (tidigare Folkpartiet),L
Rosie Rothstein,76,K,Liberalerna (tidigare Folkpartiet),L
Marcus Willershausen,21,M,Liberalerna (tidigare Folkpartiet),L
Gulan Avci,45,K,Liberalerna (tidigare Folkpartiet),L
Ylva Mozis,47,K,Liberalerna (tidigare Folkpartiet),L
Martin Ängeby,51,M,Liberalerna (tidigare Folkpartiet),L
Anne-Lie Elfvén,44,K,Liberalerna (tidigare Folkpartiet),L
Mia Franzén,51,K,Liberalerna (tidigare Folkpartiet),L
Ing-Marie Viklund,44,K,Liberalerna (tidigare Folkpartiet),L
Christoffer Heimbrand,25,M,Liberalerna (tidigare Folkpartiet),L
Hans Ahlgren,65,M,Liberalerna (tidigare Folkpartiet),L
Åsa Nilsson Söderström,48,K,Liberalerna (tidigare Folkpartiet),L
Gunnar Andrén,76,M,Liberalerna (tidigare Folkpartiet),L
Amie Kronblad,57,K,Liberalerna (tidigare Folkpartiet),L
Fredrik Malm,45,M,Liberalerna (tidigare Folkpartiet),L
Carl Otto Engberg,35,M,Liberalerna (tidigare Folkpartiet),L
Marianne Damström Gereben,65,K,Liberalerna (tidigare Folkpartiet),L
Mathias Lindow,48,M,Liberalerna (tidigare Folkpartiet),L
Emilie Fors,43,K,Liberalerna (tidigare Folkpartiet),L
André Nilsson,33,M,Liberalerna (tidigare Folkpartiet),L
Fatima Nur,62,K,Liberalerna (tidigare Folkpartiet),L
Emelie Voetmann,34,K,Liberalerna (tidigare Folkpartiet),L
Fredrik Runesjö,36,M,Liberalerna (tidigare Folkpartiet),L
Mardoukh Ahi,27,M,Liberalerna (tidigare Folkpartiet),L
Jan Reuterdahl,65,M,Liberalerna (tidigare Folkpartiet),L
Anna Starbrink,50,K,Liberalerna (tidigare Folkpartiet),L
Håkan Andersson,76,M,Liberalerna (tidigare Folkpartiet),L
Sophia Sturesson,41,K,Liberalerna (tidigare Folkpartiet),L
Erik Öberg,49,M,Liberalerna (tidigare Folkpartiet),L
Lars-Göran Mellberg,51,M,Liberalerna (tidigare Folkpartiet),L
Hans Henriksen,76,M,Liberalerna (tidigare Folkpartiet),L
Ann-Marie Falk,73,K,Liberalerna (tidigare Folkpartiet),L
Marlene Ackland,54,K,Liberalerna (tidigare Folkpartiet),L
Nawal Al-Ibrahim,69,K,Liberalerna (tidigare Folkpartiet),L
Robert Beronius,46,M,Liberalerna (tidigare Folkpartiet),L
Hanna Wistrand,54,K,Liberalerna (tidigare Folkpartiet),L
Joar Forssell,29,M,Liberalerna (tidigare Folkpartiet),L
Romina Pourmokthari,26,K,Liberalerna (tidigare Folkpartiet),L
Malin Danielsson,45,K,Liberalerna (tidigare Folkpartiet),L
Carl B Hamilton,76,M,Liberalerna (tidigare Folkpartiet),L
Karin Karlsbro,51,K,Liberalerna (tidigare Folkpartiet),L
Juno Blom,53,K,Liberalerna (tidigare Folkpartiet),L
Lina Nordquist,44,K,Liberalerna (tidigare Folkpartiet),L
Helena Gellerman,62,K,Liberalerna (tidigare Folkpartiet),L
Arman Teimouri,41,M,Liberalerna (tidigare Folkpartiet),L
Louise Eklund,43,K,Liberalerna (tidigare Folkpartiet),L
Mauricio Rojas,72,M,Liberalerna (tidigare Folkpartiet),L
Hans-Peter Carlsson,54,M,Liberalerna (tidigare Folkpartiet),L
Johanne Hildebrandt,58,K,Liberalerna (tidigare Folkpartiet),L
Jakob Olofsgård,47,M,Liberalerna (tidigare Folkpartiet),L
Helene Odenjung,57,K,Liberalerna (tidigare Folkpartiet),L
Gilbert Tribo,50,M,Liberalerna (tidigare Folkpartiet),L
Per-Ola Grönberg,57,M,Liberalerna (tidigare Folkpartiet),L
Robert Hannah,37,M,Liberalerna (tidigare Folkpartiet),L
Carl B. Hamilton,76,M,Liberalerna (tidigare Folkpartiet),L
Veronica Almroth,45,K,Liberalerna (tidigare Folkpartiet),L
Johan Wikander,59,M,Liberalerna (tidigare Folkpartiet),L
Monica Lundin,49,K,Liberalerna (tidigare Folkpartiet),L
Pär Johnson,59,M,Liberalerna (tidigare Folkpartiet),L
Cecilia Rönn,42,K,Liberalerna (tidigare Folkpartiet),L
Amir Jawad,26,M,Liberalerna (tidigare Folkpartiet),L
Elise Backman,29,K,Liberalerna (tidigare Folkpartiet),L
Börje Dovstad,62,M,Liberalerna (tidigare Folkpartiet),L
Romina Pourmokhtari,26,K,Liberalerna (tidigare Folkpartiet),L
Lotta Wahlmino,54,K,Liberalerna (tidigare Folkpartiet),L
Henrik Edin,33,M,Liberalerna (tidigare Folkpartiet),L
Gisela Wood,37,K,Liberalerna (tidigare Folkpartiet),L
Mohamad Hassan,50,M,Liberalerna (tidigare Folkpartiet),L
Maria Grans,52,K,Liberalerna (tidigare Folkpartiet),L
Patrik Karlson,35,M,Liberalerna (tidigare Folkpartiet),L
Lotta Nachemson,60,K,Liberalerna (tidigare Folkpartiet),L
Thomas Söderström,38,M,Liberalerna (tidigare Folkpartiet),L
Camilla Mårtensen,52,K,Liberalerna (tidigare Folkpartiet),L
Mats Persson,41,M,Liberalerna (tidigare Folkpartiet),L
Tobias Josefsson,42,M,Liberalerna (tidigare Folkpartiet),L
Hanna Schölander,43,K,Liberalerna (tidigare Folkpartiet),L
Olle Johnsson,26,M,Liberalerna (tidigare Folkpartiet),L
Anna Lundberg,48,K,Liberalerna (tidigare Folkpartiet),L
Ursula Savonius,33,K,Liberalerna (tidigare Folkpartiet),L
Marcus Hjalmarsson,42,M,Liberalerna (tidigare Folkpartiet),L
Sara Wettergren,50,K,Liberalerna (tidigare Folkpartiet),L
Elisabeth Mattsson,54,K,Liberalerna (tidigare Folkpartiet),L
Roger Haddad,44,M,Liberalerna (tidigare Folkpartiet),L
Lotta Gröning,65,K,Liberalerna (tidigare Folkpartiet),L
Pär Löfstrand,52,M,Liberalerna (tidigare Folkpartiet),L
Ilan Sadé,44,M,Medborgerlig Samling,MED
Monika Råberg Hellsing,51,K,Medborgerlig Samling,MED
Tristan Tempest,53,M,Medborgerlig Samling,MED
Micael Östlund,59,M,Medborgerlig Samling,MED
Erik Lidström,58,M,Medborgerlig Samling,MED
Emilie Pilthammar,39,K,Medborgerlig Samling,MED
Kai Rämö,55,M,Medborgerlig Samling,MED
Johan Varland,51,M,Medborgerlig Samling,MED
Fredrik Clementz,43,M,Medborgerlig Samling,MED
Edward Nordén,42,M,Medborgerlig Samling,MED
Alexander Bard,61,M,Medborgerlig Samling,MED
Åsa Tallroth,46,K,Medborgerlig Samling,MED
Georgios Tsiouras,58,M,Medborgerlig Samling,MED
Charlotta Rossäng,54,K,Medborgerlig Samling,MED
Karl Haargaard,60,M,Medborgerlig Samling,MED
Christian Lundqvist,50,M,Medborgerlig Samling,MED
Stina Op de Weegh Lundström,70,K,Medborgerlig Samling,MED
Emanuel Lindström,35,M,Medborgerlig Samling,MED
Andreas Nurbo,38,M,Medborgerlig Samling,MED
Magnus Törne,48,M,Medborgerlig Samling,MED
Fredrik Körner,55,M,Medborgerlig Samling,MED
Leif Svensson,67,M,Medborgerlig Samling,MED
Anna Jung,49,K,Medborgerlig Samling,MED
Rachid el-Mounacifi,55,M,Medborgerlig Samling,MED
Ann-Cathrine Björk,54,K,Medborgerlig Samling,MED
Jan-Olof Sandgren,65,M,Medborgerlig Samling,MED
Patrick Abrahamsson,59,M,Medborgerlig Samling,MED
Mathias Bjerstaf,42,M,Medborgerlig Samling,MED
Laszlo Pongo,48,M,Medborgerlig Samling,MED
Anders Grandell,31,M,Medborgerlig Samling,MED
Kerstin Thurdin,75,K,Medborgerlig Samling,MED
Björn Allert,59,M,Medborgerlig Samling,MED
Daniel Jedborg,42,M,Medborgerlig Samling,MED
Lena Malmberg,64,K,Medborgerlig Samling,MED
Göran Dybner,51,M,Medborgerlig Samling,MED
Christopher Frantz,41,M,Medborgerlig Samling,MED
Håkan Broman,59,M,Medborgerlig Samling,MED
Sven-Åke Sidén,60,M,Medborgerlig Samling,MED
Jan Röman,64,M,Medborgerlig Samling,MED
Jonas Olsson,48,M,Medborgerlig Samling,MED
Lars-Göran Eriksson,48,M,Medborgerlig Samling,MED
Emmeli Selander,37,K,Medborgerlig Samling,MED
Fredrik Jonsson,51,M,Medborgerlig Samling,MED
Sören Lundquist,71,M,Medborgerlig Samling,MED
David Eberhard,55,M,Medborgerlig Samling,MED
Mattias Guilotte,49,M,Medborgerlig Samling,MED
Dan Bernspång,50,M,Medborgerlig Samling,MED
Anders Hansson,43,M,Medborgerlig Samling,MED
Inger Pilthammar,68,K,Medborgerlig Samling,MED
Erik Liungman,55,M,Medborgerlig Samling,MED
Sebastian Sandh,38,M,Medborgerlig Samling,MED
Peter Aldenlöv,61,M,Medborgerlig Samling,MED
Henrik Isaksson,43,M,Medborgerlig Samling,MED
Lars Berggren,64,M,Medborgerlig Samling,MED
Torbjörn Karlsson,62,M,Medborgerlig Samling,MED
Pia Rundkvist,44,K,Medborgerlig Samling,MED
Pär Gustafsson,53,M,Medborgerlig Samling,MED
Stefan Holmström,45,M,Medborgerlig Samling,MED
Peter Josefsson,62,M,Medborgerlig Samling,MED
Jesper Lindström,56,M,Medborgerlig Samling,MED
Mats Bjartling,56,M,Medborgerlig Samling,MED
Johan Hallberg,46,M,Medborgerlig Samling,MED
Mikael Flink,49,M,Medborgerlig Samling,MED
Anna Danieli,52,K,Medborgerlig Samling,MED
Staffan Gunnarson,58,M,Medborgerlig Samling,MED
Per Bolund,51,M,Miljöpartiet de gröna,MP
Martin Prieto Beaulieu,53,M,Miljöpartiet de gröna,MP
Marie-Helena Fjällås,37,K,Miljöpartiet de gröna,MP
Magnus Runsten,39,M,Miljöpartiet de gröna,MP
Cecilia Obermüller,60,K,Miljöpartiet de gröna,MP
Joel Forsberg,21,M,Miljöpartiet de gröna,MP
Giulia Ray,47,K,Miljöpartiet de gröna,MP
Anton Lindkvist Tagizade,41,M,Miljöpartiet de gröna,MP
Emilia Engblad Béranger,40,K,Miljöpartiet de gröna,MP
Saeed Hormozy,63,M,Miljöpartiet de gröna,MP
Vix Herjeryd,37,K,Miljöpartiet de gröna,MP
Åsa Lindhagen,42,K,Miljöpartiet de gröna,MP
Mansur Jama,42,M,Miljöpartiet de gröna,MP
Cindy Falquet,35,K,Miljöpartiet de gröna,MP
Jon Karlfeldt,40,M,Miljöpartiet de gröna,MP
Sandra Ivanovic Rubin,38,K,Miljöpartiet de gröna,MP
Micke Seid,62,M,Miljöpartiet de gröna,MP
Elin Hylander,32,K,Miljöpartiet de gröna,MP
Nikolas Jerkedal,54,M,Miljöpartiet de gröna,MP
Isabella Iman Al Khafaji,29,K,Miljöpartiet de gröna,MP
Tomas Beer,76,M,Miljöpartiet de gröna,MP
Sara Grolander,38,K,Miljöpartiet de gröna,MP
Ulrika Westerlund,49,K,Miljöpartiet de gröna,MP
David Nilsson,54,M,Miljöpartiet de gröna,MP
Lovisa Berglund,26,K,Miljöpartiet de gröna,MP
Karl Persson,49,M,Miljöpartiet de gröna,MP
Anna Wallgren,38,K,Miljöpartiet de gröna,MP
Felix Schartner Giertta,31,M,Miljöpartiet de gröna,MP
Gabi Rehbinder,51,K,Miljöpartiet de gröna,MP
Anders Nilsson,38,M,Miljöpartiet de gröna,MP
Clara Lidberg,38,K,Miljöpartiet de gröna,MP
Anders Trojenborg,57,M,Miljöpartiet de gröna,MP
Carin Hellström,42,K,Miljöpartiet de gröna,MP
Daniel Helldén,57,M,Miljöpartiet de gröna,MP
Hampus Rubaszkin,49,M,Miljöpartiet de gröna,MP
Maria Antonsson,53,K,Miljöpartiet de gröna,MP
Bo Magnusson,72,M,Miljöpartiet de gröna,MP
Olivia Forsberg,42,K,Miljöpartiet de gröna,MP
Daniel Aftonfalk,35,M,Miljöpartiet de gröna,MP
Camilla Bonnevier Ngabissio,33,K,Miljöpartiet de gröna,MP
Lennart Kuick,65,M,Miljöpartiet de gröna,MP
Aleese Rydlund,31,K,Miljöpartiet de gröna,MP
Peter Dannqvist,59,M,Miljöpartiet de gröna,MP
Annaklara Martin-Löf,41,K,Miljöpartiet de gröna,MP
Katarina Luhr,49,K,Miljöpartiet de gröna,MP
Rickard Sundeman,61,M,Miljöpartiet de gröna,MP
Jennifer Unelius,34,K,Miljöpartiet de gröna,MP
Lennart Tonell,78,M,Miljöpartiet de gröna,MP
Sofie Lemontzis,32,K,Miljöpartiet de gröna,MP
Stephan Gullberg,66,M,Miljöpartiet de gröna,MP
Rebekka Dominique,57,K,Miljöpartiet de gröna,MP
Lisen Follin,31,K,Miljöpartiet de gröna,MP
Anna Kers Hagberg,60,K,Miljöpartiet de gröna,MP
Mats Berglund,52,M,Miljöpartiet de gröna,MP
Aida Badeli,26,K,Miljöpartiet de gröna,MP
Henrik Blind,44,M,Miljöpartiet de gröna,MP
Ulla Wihlman,73,K,Miljöpartiet de gröna,MP
Märta Stenevi,46,K,Miljöpartiet de gröna,MP
Katrin Wissing,42,K,Miljöpartiet de gröna,MP
Mursal Isa,40,M,Miljöpartiet de gröna,MP
Maria Ferm,37,K,Miljöpartiet de gröna,MP
Annika Hirvonen,33,K,Miljöpartiet de gröna,MP
Janine Alm Ericson,48,K,Miljöpartiet de gröna,MP
Martin Marmgren,47,M,Miljöpartiet de gröna,MP
Elin Söderberg,38,K,Miljöpartiet de gröna,MP
Jakop Dalunde,38,M,Miljöpartiet de gröna,MP
Domino Kai,51,M,Miljöpartiet de gröna,MP
Niklas Adamsson,56,M,Miljöpartiet de gröna,MP
Rebecka Forsberg,23,K,Miljöpartiet de gröna,MP
Per-Inge Lidén,63,M,Miljöpartiet de gröna,MP
Emma Hult,34,K,Miljöpartiet de gröna,MP
Magnus P Wåhlin,51,M,Miljöpartiet de gröna,MP
Kinna Skoglund,54,K,Miljöpartiet de gröna,MP
Linus Lakso,39,M,Miljöpartiet de gröna,MP
Karin Pleijel,60,K,Miljöpartiet de gröna,MP
Alice Bah Kuhnke,50,K,Miljöpartiet de gröna,MP
Lotta Hedström,66,K,Miljöpartiet de gröna,MP
David Ling,29,M,Miljöpartiet de gröna,MP
Karin Svensson Smith,66,K,Miljöpartiet de gröna,MP
Emma Nohrén,42,K,Miljöpartiet de gröna,MP
Bassem Nasr,41,M,Miljöpartiet de gröna,MP
Emanuel Hort,38,M,Miljöpartiet de gröna,MP
Emma Berginger,35,K,Miljöpartiet de gröna,MP
Agneta Granström,67,K,Miljöpartiet de gröna,MP
Rasmus Ling,38,M,Miljöpartiet de gröna,MP
Marléne Tamlin,37,K,Miljöpartiet de gröna,MP
Amanda Lind,42,K,Miljöpartiet de gröna,MP
Lova Necksten,35,K,Miljöpartiet de gröna,MP
Arberesha Sabani,31,K,Miljöpartiet de gröna,MP
Marcus Friberg,35,M,Miljöpartiet de gröna,MP
Birgitta Pettersson-Frank,68,K,Miljöpartiet de gröna,MP
Camilla Hansén,46,K,Miljöpartiet de gröna,MP
Margareta Fransson,51,K,Miljöpartiet de gröna,MP
Jan Riise,64,M,Miljöpartiet de gröna,MP
Birgitta Losman,49,K,Miljöpartiet de gröna,MP
Robert Hall,59,M,Miljöpartiet de gröna,MP
Madeleine Jonsson,36,K,Miljöpartiet de gröna,MP
Rebecka Le Moine,32,K,Miljöpartiet de gröna,MP
Jacob Risberg,49,M,Miljöpartiet de gröna,MP
Annika Carlsson Wistedt,59,K,Miljöpartiet de gröna,MP
Ingemar Basth,65,M,Miljöpartiet de gröna,MP
Eva Goës,75,K,Miljöpartiet de gröna,MP
Leila Ali Elmi,34,K,Miljöpartiet de gröna,MP
Pär Holmgren,57,M,Miljöpartiet de gröna,MP
Joakim Bonde,39,M,Min röst,NA
"Bekiri, Artan",18,M,MITT SVERIGE,NA
Cecilia Strandvall,28,K,MoD,NA
Habil Kantur,46,M,MoD,NA
Liselotte Dalén,54,K,MoD,NA
Mariette Lilja,45,K,MoD,NA
Gustaf Rydelius,31,M,MoD,NA
Jenny Djurstedt Çaylar,44,K,MoD,NA
Winee Hailu,48,K,MoD,NA
Daniyel Tavakolian,48,M,MoD,NA
Andreas Vinaccia,43,M,MoD,NA
Romina Tufekcieva,34,K,MoD,NA
Andreas Sidkvist,41,M,MoD,NA
Janne Binkowski,69,M,MoD,NA
Mathias Bartsch,51,M,MoD,NA
Peter Wahlbeck,59,M,MoD,NA
Johannes Haddad,48,M,MoD,NA
Fredrik Widmark,51,M,MoD,NA
Stefan Torssell,76,M,MoD,NA
Mikael Cromsjö,43,M,MoD,NA
Ulf Kristersson,58,M,Moderaterna,M
Lars Jilmstad,76,M,Moderaterna,M
Ingebrikt Sjövik,40,M,Moderaterna,M
Ole-Jörgen Persson,49,M,Moderaterna,M
Susanne Sjöblom,54,K,Moderaterna,M
Jonas Nilsson,55,M,Moderaterna,M
Anna Cederschiöld Stuart,41,K,Moderaterna,M
Amelie Langby,33,K,Moderaterna,M
Kristina Lutz,50,K,Moderaterna,M
Kim Nilsson,42,M,Moderaterna,M
Henrik Appelqvist,52,M,Moderaterna,M
Johan Forssell,42,M,Moderaterna,M
Ludvig Filhm,25,M,Moderaterna,M
Edward Hamilton,42,M,Moderaterna,M
Roslana Cederhage,35,K,Moderaterna,M
Elin Böhlin,18,K,Moderaterna,M
Torbjörn Ebérus,65,M,Moderaterna,M
Arslan Bicen,61,M,Moderaterna,M
Per Hagwall,56,M,Moderaterna,M
Michael Lundholm,63,M,Moderaterna,M
Lea Leskinen,64,K,Moderaterna,M
Dag Klackenberg,74,M,Moderaterna,M
Jessica Rosencrantz,34,K,Moderaterna,M
Cornilla von Plomgren,60,K,Moderaterna,M
Helena Rivière,82,K,Moderaterna,M
Eva Ekmehag,61,K,Moderaterna,M
Robert Stahre,67,M,Moderaterna,M
Mikael Sundin,39,M,Moderaterna,M
Kristina Axén Olin,59,K,Moderaterna,M
Margareta Cederfelt,62,K,Moderaterna,M
Fredrik Kärrholm,37,M,Moderaterna,M
Arin Karapet,34,M,Moderaterna,M
Carl Nordblom,28,M,Moderaterna,M
Merit Lindberg,49,K,Moderaterna,M
Boriana Åberg,53,K,Moderaterna,M
Noria Manouchi,31,K,Moderaterna,M
Ulrika Heindorff,38,K,Moderaterna,M
Andreas Norlén,49,M,Moderaterna,M
Mats Green,43,M,Moderaterna,M
Lars Püss,56,M,Moderaterna,M
Jessika Roswall,49,K,Moderaterna,M
Ann-Sofie Lifvenhage,46,K,Moderaterna,M
Oskar Svärd,26,M,Moderaterna,M
Elisabeth Svantesson,54,K,Moderaterna,M
Marie Nicholson,45,K,Moderaterna,M
Pål Jonson,50,M,Moderaterna,M
Mikael Damsgaard,45,M,Moderaterna,M
Carl-Oskar Bohlin,36,M,Moderaterna,M
Mattias Karlsson,50,M,Moderaterna,M
Oliver Rosengren,30,M,Moderaterna,M
Lars Beckman,54,M,Moderaterna,M
Edward Riedl,46,M,Moderaterna,M
Jörgen Berglund,48,M,Moderaterna,M
Åsa Coenraads,44,K,Moderaterna,M
Tobias Billström,48,M,Moderaterna,M
Saila Quicklund,60,K,Moderaterna,M
Jesper Skalberg Karlsson,29,M,Moderaterna,M
Marie Louise Hänel Sandström,53,K,Moderaterna,M
Johan Hultberg,37,M,Moderaterna,M
Camilla Waltersson Grönvall,53,K,Moderaterna,M
Jan Ericson,61,M,Moderaterna,M
Sten Bergheden,57,M,Moderaterna,M
Maria Malmer Stenergard,41,K,Moderaterna,M
"Chadda, Toni",40,M,Neoteknokraterna,NA
Simon Lindberg,39,M,Nordiska motståndsrörelsen,NMR
Pär Öberg,51,M,Nordiska motståndsrörelsen,NMR
Fredrik Vejdeland,43,M,Nordiska motståndsrörelsen,NMR
Robert Eklund,48,M,Nordiska motståndsrörelsen,NMR
Waza-Kongo Ramazani,43,M,NY REFORM (NR),NR
Mika Ström Knuuttila,41,M,NY REFORM (NR),NR
Andreas Pahlm,41,M,NY REFORM (NR),NR
Clarisse Gui Gui,51,K,NY REFORM (NR),NR
Laurentine Ngu Ngu,42,K,NY REFORM (NR),NR
Gertrud Mankand,41,K,NY REFORM (NR),NR
Michel Bofando,44,M,NY REFORM (NR),NR
Svante Strokirk,18,M,Ond Kyckling Partiet,OKP
Aaron Hendberg Cerda,18,M,Ond Kyckling Partiet,OKP
"Mets, Johan",49,M,Partiet Folkomröstning,NA
"Kharboutli, Feras Zaki",44,M,Partiet Nyans,PNy
"Ergene, Elif",52,K,Partiet Nyans,PNy
"Al-Saleh, Doaa",18,K,Partiet Nyans,PNy
"Jamalo, Abdul Jalil",45,M,Partiet Nyans,PNy
"Saad Aldin, Ibrahim",35,M,Partiet Nyans,PNy
"Gibril, Liban",20,M,Partiet Nyans,PNy
"Altemimi, Yaser",33,M,Partiet Nyans,PNy
"Horchani, Mohamed Lamjed",58,M,Partiet Nyans,PNy
"Gül, Ali Yüksel",50,M,Partiet Nyans,PNy
"Baki Zada, Fahad",38,M,Partiet Nyans,PNy
"Duman, Abdurrahman",39,M,Partiet Nyans,PNy
Mikail Yüksel,40,M,Partiet Nyans,PNy
Ahmad Al-Mughrabi,46,M,Partiet Nyans,PNy
Yousef Yebari,60,M,Partiet Nyans,PNy
Adil El Abboudi,56,M,Partiet Nyans,PNy
Daniel Mahouk,38,M,Partiet Nyans,PNy
Adri Sajjad,27,M,Partiet Nyans,PNy
Elvir Begic,44,M,Partiet Nyans,PNy
Yasar Taskin,59,M,Partiet Nyans,PNy
Ifrah-Degmo Mohamed,39,K,Partiet Nyans,PNy
Hamza Akacha,20,M,Partiet Nyans,PNy
Chalang Al-Mofty,36,M,Partiet Nyans,PNy
Mehmet Eken,33,M,Partiet Nyans,PNy
Mehmed Hamzic,52,M,Partiet Nyans,PNy
Lotta Slim,55,K,Partiet Nyans,PNy
Sead Busuladzic,40,M,Partiet Nyans,PNy
Anwar Al Saleh,19,K,Partiet Nyans,PNy
Talal Khalil,30,M,Partiet Nyans,PNy
Samir Daabas,55,M,Partiet Nyans,PNy
Bashir Aman Ali,54,M,Partiet Nyans,PNy
Walid Al Torman,50,M,Partiet Nyans,PNy
Nezir Ziberovski,34,M,Partiet Nyans,PNy
Samy Laham,25,M,Partiet Nyans,PNy
Bekim Lukac,21,M,Partiet Nyans,PNy
Nurettin Incegül,55,M,Partiet Nyans,PNy
Nour Malah,43,K,Partiet Nyans,PNy
Omar Josef Benaim,33,M,Partiet Nyans,PNy
Rami Raim,48,M,Partiet Nyans,PNy
Trifa Sadighi,39,K,Partiet Nyans,PNy
Mahmoud Othman,58,M,Partiet Nyans,PNy
Džebrail Bajramovi,49,M,Partiet Nyans,PNy
Enver Cakir,46,M,Partiet Nyans,PNy
Muhammad Irfan Aslam,39,M,Partiet Nyans,PNy
Adam El Abdi,42,M,Partiet Nyans,PNy
Fathi Abdullahi diriye,26,K,Partiet Nyans,PNy
Muhammed Khalil,47,M,Partiet Nyans,PNy
Abdi Osman,45,M,Partiet Nyans,PNy
Amel Olevic,43,M,Partiet Nyans,PNy
Ibrahim ben Alaya,52,M,Partiet Nyans,PNy
Mohammed Shwan,51,M,Partiet Nyans,PNy
Tolga Ates,44,M,Partiet Nyans,PNy
Josef Abou-Soultan,37,M,Partiet Nyans,PNy
Minela Rahic,37,K,Partiet Nyans,PNy
Erold Jasarov,30,M,Partiet Nyans,PNy
Sara Camakh,36,K,Partiet Nyans,PNy
Amir Mazroui-Sebdani,35,M,Partiet Nyans,PNy
Rami Hussein,31,M,Partiet Nyans,PNy
Adisa Hadzihalilovic,41,K,Partiet Nyans,PNy
Ali Abdi Mohamed,38,M,Partiet Nyans,PNy
Arbona Krasniqi,43,K,Partiet Nyans,PNy
Asef Hammouri,51,M,Partiet Nyans,PNy
Ashraf Mahjoub,43,M,Partiet Nyans,PNy
Iman Hammoud,19,K,Partiet Nyans,PNy
Wassim Al-Hajali,65,M,Partiet Nyans,PNy
Rasha Salameh,34,K,Partiet Nyans,PNy
Džebrail Bajramovic,49,M,Partiet Nyans,PNy
Alma Zverotic,38,K,Partiet Nyans,PNy
Paula Dahlberg,36,K,Partiet Vändpunkt,PV
Joachim Bergenstråhle,64,M,Partiet Vändpunkt,PV
Karin Solum,77,K,Partiet Vändpunkt,PV
Torbjörn Lahti,68,M,Partiet Vändpunkt,PV
Mats Olsson,75,M,Partiet Vändpunkt,PV
Bengt-Uno Andersson,59,M,Partiet Vändpunkt,PV
Peter Ivarsson,63,M,Partiet Vändpunkt,PV
Mats Willers,75,M,Partiet Vändpunkt,PV
Gunnar Brundin,73,M,Partiet Vändpunkt,PV
Elena Martinez,57,K,Partiet Vändpunkt,PV
Sven Stark,33,M,Partiet Vändpunkt,PV
Jennica Månsson,38,K,Partiet Vändpunkt,PV
Eddie Olsson,59,M,Partiet Vändpunkt,PV
Elin Vinblad,33,K,Partiet Vändpunkt,PV
Peter Nordling,35,M,Partiet Vändpunkt,PV
Anne von Heideman,66,K,Partiet Vändpunkt,PV
Katarina Stensson,34,K,Piratpartiet,PP
Siula Grande,25,K,Piratpartiet,PP
Camilla Josephson,52,K,Piratpartiet,PP
Theo Haglund,20,K,Piratpartiet,PP
Jan-Erik Malmquist,48,M,Piratpartiet,PP
Mats Philipson,57,M,Piratpartiet,PP
Martin Sjöberg,28,M,Piratpartiet,PP
Viktor Alakörkkö,28,M,Piratpartiet,PP
Magnus Marklund,31,M,Piratpartiet,PP
Ajax Maye,20,K,Piratpartiet,PP
Daniella Wikerman,32,K,Piratpartiet,PP
Jakob Sinclair,23,M,Piratpartiet,PP
Kevin Nilsson,27,M,Piratpartiet,PP
Jerry Hjort,30,M,Piratpartiet,PP
Alexander Vårfält,36,M,Piratpartiet,PP
Michael Andersson,32,M,Piratpartiet,PP
Mattias Rubenson,28,M,Piratpartiet,PP
Henrik Passmark,38,M,Piratpartiet,PP
Otto Larsson,31,M,Piratpartiet,PP
Christoffer Eldengrip,32,M,Piratpartiet,PP
